# Inputs whose document does not survive being written and read back.
#
# Generated by `make golden` from the inputs in markdown-verdicts.tsv.
# Only the losses are listed: an input arriving here used to convert without
# changing and no longer does, and one leaving is a fix.
#
# The class names what differs, as node and mark types. It is an index rather
# than a diagnosis: several of these are deliberate. See
# TestTheDocumentSurvivesTheWriter.
mark:link+node:inlineCard	"*\\!*<0:\\>"
node:hardBreak	"*\\\n*\\\n\\\n0*\\\n0*"
node:hardBreak	"*\\\n0*"
node:hardBreak	"*\\\n0\\\n0\\\n0\\\n0\\\n0\\\n0\\\n0\\\n0\\\n00\\\n0\\\n0\\\n0\\\n00\\\n0\\\n0\\\n0*"
node:hardBreak	"*\\\n\\\n0*"
node:hardBreak	"*\\\n\\\n\\\n\\\n0\\\n\\\n\\\n\\\n0*"
node:hardBreak	"*\\\n\f0\\\n\f0*"
node:hardBreak	"*\\\n\f0\\\n\f0\\\n\f0\\\n\f0*"
node:hardBreak	"*\\\n\f0\\\n\v    0\\\n\f 0*"
node:hardBreak	"*\\\n\f\\\n\f\\\n00*"
node:hardBreak	"*\\\n\f\\\n\f\\\n\f\\\n\f\\\n0*"
node:hardBreak	"*\\\n\f\\\n\f\\\n\f\\\n\f\\\n\f\\\n\f\\\n\f\\\n\f\\\n0*"
node:hardBreak	"*\\\n\f\\\n\f\\\n\f\\\n\f\\\n\f\\\n\f\\\n\f\\\n\f\\\n\f\\\n\f\\\n\f\\\n\f\\\n\f\\\n\f\\\n\f\\\n\f\\\n0*"
node:hardBreak	"*\\\n\v  *0\\\n\v  0\\\n\f  0\\\n\f 0*\\\n\f  0\\\n\f 0*"
node:hardBreak	"*\\\n\v*0\\\n\v0\\\n\v0\\\n\f0\\\n\f0*\\\n\f0\\\n\f0\\\n\f0*"
node:hardBreak	"0[0\\\r\\\r](0)"
mark:link+node:inlineCard	"<0:\\>"
node:hardBreak	"[0\\\r\\\r\\\r\\\r\\\r\\\r\\\r\\\r](0)"
node:hardBreak	"[0\\\r\\\r\\\r\\\r](0)"
node:hardBreak	"[0\\\r](0)"
